Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_100,0.07158756,0.7063386,0.15098707,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_004,-0.07177019,0.7075933,0.15021628,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_055,0.06898785,0.7090581,0.14931817,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_070,-0.0625968,0.715731,0.14525016,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_061,-0.06941414,0.7218824,0.14153355,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_073,0.070785046,0.7273,0.13828641,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_123,0.05671358,0.73836064,0.13173147,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_068,-0.061502934,0.7390551,0.13132319,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_104,0.057417393,0.7403304,0.13057442,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_077,0.0582633,0.7644628,0.11664362,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_165,0.05557394,0.7716577,0.11257531,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MKI67,0.057643414,0.7717298,0.11253472,Not Significant
Liposarcoma vs Rhabdomyosarcoma,TAGLN,0.05893278,0.77185196,0.11246599,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_090,-0.05713749,0.78025126,0.10776552,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_106,-0.05167246,0.7838643,0.10575911,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_065,0.048003197,0.78621274,0.10445992,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_102,0.055309772,0.8004432,0.0966695,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_103,0.04517889,0.803412,0.095061675,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_037,-0.054356575,0.80442643,0.09451367,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_047,0.049375534,0.8052551,0.09406651,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_145,-0.039304256,0.8057449,0.093802445,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_131,0.0434556,0.8063252,0.09348977,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_119,0.04659462,0.81212926,0.09037484,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_041,-0.047166824,0.81532806,0.08866761,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_115,-0.034802914,0.8180543,0.08721786,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_001,0.035709858,0.8205066,0.085917935,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_050,0.044378757,0.82213897,0.08505477,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_161,0.049791813,0.8227962,0.084707715,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_032,-0.03393221,0.8377954,0.076862045,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_052,-0.039326668,0.8379971,0.0767575,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_120,-0.03856039,0.8390279,0.07622361,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_137,0.03899622,0.84221005,0.07457958,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_069,0.032640457,0.8496807,0.07074424,Not Significant
Liposarcoma vs Rhabdomyosarcoma,TP53,0.03711891,0.85116065,0.06998847,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_155,-0.034879208,0.8524644,0.06932376,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_006,-0.036418915,0.8585634,0.06622762,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_098,0.034911156,0.8695861,0.060687408,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_160,0.026572704,0.871175,0.0598946,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_080,-0.028060913,0.8842867,0.05340691,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_173,0.02652359,0.8879055,0.051633265,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_130,0.024105549,0.8926607,0.049313597,Not Significant
Liposarcoma vs Rhabdomyosarcoma,RB1,0.027132034,0.8931102,0.049094945,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_023,0.023233414,0.8964747,0.047461953,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_154,-0.022537231,0.89783835,0.046801846,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_127,0.01871109,0.90601844,0.042862963,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_045,-0.024986267,0.90893626,0.04146657,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_157,-0.019898891,0.9111702,0.0404005,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_071,0.02423954,0.91479796,0.038674813,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_009,0.01834917,0.92537594,0.0336818,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_150,-0.018022537,0.9286683,0.03213937,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_116,-0.017527103,0.9287356,0.0321079,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_082,0.0146074295,0.9384671,0.027580956,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_056,-0.015075207,0.93981504,0.026957607,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MMP2,-0.014887333,0.940191,0.026783925,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_121,0.011580944,0.94091207,0.026450962,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_089,0.011207104,0.9454572,0.024358118,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SP7,0.013736248,0.94936615,0.022566257,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_066,0.012107849,0.9499639,0.022292886,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_099,-0.011854649,0.9504433,0.022073776,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_171,0.010700703,0.9558499,0.019610308,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_114,0.007170677,0.9695977,0.013408424,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_134,-0.006757736,0.9709947,0.012783136,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_057,0.0066952705,0.97444683,0.011241851,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_140,-0.0055627823,0.9759347,0.010579248,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_063,0.0044927597,0.98069805,0.008464689,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_042,0.0041890144,0.98466533,0.0067113517,Not Significant
Liposarcoma vs Rhabdomyosarcoma,CNN1,0.0011863708,0.9946575,0.002326431,Not Significant
Liposarcoma vs Rhabdomyosarcoma,COL1A1,0.0012245178,0.99494076,0.002202778,Not Significant
Liposarcoma vs Rhabdomyosarcoma,CALD1,0.0013628006,0.99499255,0.0021801693,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_049,0.001188755,0.99518126,0.0020978097,Not Significant
